id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
2039747,8122174564682,"Bộ Nồi Inox 3 Đáy Sunhouse SH334 bao gồm 3 nồi với kích thước lần lượt 16cm, 20cm và 24cm đáp ứng tốt nhu cầu sử dụng. Thân nồi được thiết kế thân phẳng, kiểu dáng châu Âu sang trọng.Với chất...",489000,690000,,201000,29,95,,available,,1000,1000,,41048,Sunhouse
25421013,6064688338125,"Bộ Nồi Inox 3 Đáy Sunhouse SH335 chất liệu inox sáng bóng, bền đẹp, sử dụng được trên mọi loại bếp.Quai núm bằng inox, đinh tán chắc chắn, an toàn khi sử dụng.Đáy nồi cấu tạo 3 lớp, truyền nhi...",419000,620000,,201000,32,143,,available,,1000,1000,,41048,Sunhouse
83412126,2186358773080,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML với thiết kế nắp mở một chạm dễ dàng: Đẩy sang trái để mở khóa đồng thời mở nắp.Miệng cốc rộng: Dễ dàng thêm đá viên và chùi ...,246000,528000,,282000,53,3425,,available,,1000,1000,,48077,LocknLock
99621372,4566919726066,"Bình giữ nhiệt Lock&Lock Belt Bottle LHC4267 490ml với quai xách kiểu dáng dây đai giúp dễ dàng mang đi.Tay cầm TPE ngăn nắp rơi ra và mất, dây đai cố định nắp trong khi uống.Nắp được giữ cố ...",235000,473000,,238000,50,1319,,available,,1000,1000,,48077,LocknLock
71890908,5955369732589,Thùng giặt bằng nhựa chắc chắnBộ lau nhà xoay 360 độ SUNHOUSE KS-CL330S được thiết kế tiện dụng với thùng vắt làm bằng nhựa tổng hợp với 2 màu sắc bắt mắt là xanh lá cây và màu tím. Kích thước phù hợ...,246000,406000,,160000,39,587,,available,,1000,1000,,41048,Sunhouse
200960836,7258950772391," Đóng gói:  1 dây đèn fairy light️ Tính năng Dây đèn trang trí giáng sinh với biểu tượng dễ thương như cây thông, người tuyết, ông già Noel và chim cánh cụt. Bóng đèn kiểu fairy light dịu nhẹ, tiết k...",79000,79000,,0,0,16,,available,,1000,1000,,5706641,NAVIVU
186558014,6994053079370,"Combo 10 Móc Dán Tường Treo Đồ Đa Năng Siêu Chịu LựcMỗi miếng dán sử dụng keo cường lực, độ bám dính tốt, nhưng khách chỉ nên dán trên bề mặt tường mịn màng, không lồi lỗ để đảm bảo thời gian sử dụng...",25000,25000,,0,0,353,,available,,1000,1000,,5706641,NAVIVU
42718737,1453303550991,"- Đèn Led Trang Trí Dài 6M - 40 Bóng Trang Trí Noel Lễ Tết là sản phẩm không thể thiếu khi trang trí các quán cafe, nhà hàng , karaoke, lễ hội , các phòng studio chụp ảnh , gia đình các dịp lễ , tết ,...",80000,80000,,0,0,447,,available,,1000,1000,,111461,OEM
273162903,6916374149264," Đóng gói:  1 hộp châu trang trí Noel (Hộp 24 quả)️ Tính năng Quả châu trang trí với nhiều màu sắc thích hợp để trang trí nhà cửa, treo cây thông giáng sinh. Kèm dây trên mỗi quả. Mỗi hộp có 3 loại q...",70000,70000,,0,0,1,,available,,1000,1000,,5706641,NAVIVU
73124602,7494611465205,Bình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.Bình giữ nhiệ...,300000,677000,,377000,56,6853,,available,,1000,1000,,48077,LocknLock
